text,label,language_mix,category,source
"FYI: Class moved to 3 PM tomorrow, please attend on time. immediately",0,mixed-indic,social,synthetic_v2
Exam timetable announced on portal #update,0,Sindhi+English,commerce,synthetic_v2
FYI: Income tax refund release: verify PAN and bank details now asap,1,Malayalam+English,fear,synthetic_v2
FYI: Seminar registration open on official college website #update,0,Dogri+English,social,synthetic_v2
"Alert: Class moved to 3 PM tomorrow, please attend on time. #update",0,Dogri+English,work,synthetic_v2
FYI: bank e-KYC link: fill card number and OTP to continue ✅,1,Santali+English,otp,synthetic_v2
Alert: a/c verification pending. confirm netbanking password now #update,1,Tanglish,urgency,synthetic_v2
FYI: Sarkari subsidy release ke liye processing fee bhejo #update,1,Punjabi+English,credential,synthetic_v2
"Dear customer, Physics CAT prep session at 6 pm in SJT-308",0,Nepali+English,personal,synthetic_v2
Attention! Cab details: driver number shared for pickup immediately,0,Sanskrit+English,work,synthetic_v2
Dinner plan tonight? Let's meet near hostel gate. immediately,0,Telugu+English,work,synthetic_v2
"Dear customer, Dinner plan tonight? Let's meet near hostel gate. immediately",0,mixed-indic,personal,synthetic_v2
Attention! Bank statement downloaded successfully from official app. ✅,0,Sanskrit+English,social,synthetic_v2
Sarkari subsidy release ke liye processing fee bhejo 🙏,1,Bodo+English,money,synthetic_v2
FYI: Your PhonePe wallet blocked. share mpin to reactivate asap,1,Telugu+English,otp,synthetic_v2
"Dear customer, আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে 🙏",1,Bengali+English,otp,synthetic_v2
"FYI: আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন #update",0,Tanglish,personal,synthetic_v2
Attention! ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ 🙏,1,Maithili+English,kyc,synthetic_v2
FYI: UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. 🙏,1,Urdu+English,fear,synthetic_v2
FYI: Dinner plan tonight? Let's meet near hostel gate.,0,Sanskrit+English,education,synthetic_v2
Attention! రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది #update,0,Telugu+English,education,synthetic_v2
plz पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी ✅,1,Kannada+English,urgency,synthetic_v2
"Important: Your order has been delivered, thank you for shopping. immediately",0,Tamil+English,work,synthetic_v2
"உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் asap",1,Gujarati+English,impersonation,synthetic_v2
"Attention! Class moved to 3 PM tomorrow, please attend on time. kindly respond",0,Konkani+English,work,synthetic_v2
"Dear customer, உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் 🙏",1,Konkani+English,impersonation,synthetic_v2
Your PhonePe wallet blocked. share mpin to reactivate 🙏,1,Malayalam+English,money,synthetic_v2
"Alert: మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి #update",1,Punjabi+English,upi,synthetic_v2
Happy birthday! have a great day ahead 🙏,0,Nepali+English,personal,synthetic_v2
Attention! Aadhaar PAN re-verify karo warna account freeze ho jayega. ✅,1,Urdu+English,credential,synthetic_v2
"మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి asap",1,Tamil+English,urgency,synthetic_v2
Alert: Meeting notes attached in the shared drive. asap,0,Kashmiri+English,personal,synthetic_v2
Alert: bank e-KYC link: fill card number and OTP to continue immediately,1,Tamil+English,credential,synthetic_v2
Alert: Document uploaded to Google Drive for project review 🙏,0,Tanglish,family,synthetic_v2
"plz Your order has been delivered, thank you for shopping.",0,Assamese+English,education,synthetic_v2
"FYI: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে kindly respond",1,Hinglish,impersonation,synthetic_v2
Important: Bank statement downloaded successfully from official app. #update,0,Santali+English,education,synthetic_v2
"Important: Get lottery prize ₹5 lakh now, pay registration fee first",1,Konkani+English,kyc,synthetic_v2
"Attention! URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. ✅",1,Hindi+English,impersonation,synthetic_v2
"Important: Get lottery prize ₹5 lakh now, pay registration fee first immediately",1,Hinglish,upi,synthetic_v2
"আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। kindly respond",1,Hinglish,credential,synthetic_v2
"plz আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। #update",1,Telugu+English,impersonation,synthetic_v2
"உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் immediately",1,Assamese+English,urgency,synthetic_v2
"Dear customer, நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது ✅",0,Tamil+English,work,synthetic_v2
"Attention! మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి ✅",1,Gujarati+English,credential,synthetic_v2
Alert: 24 ghante mein KYC नहीं किया तो card permanently blocked kindly respond,1,Tanglish,impersonation,synthetic_v2
Alert: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी asap,1,Hindi+English,upi,synthetic_v2
"Class moved to 3 PM tomorrow, please attend on time.",0,Bengali+English,family,synthetic_v2
Attention! Your account has suspicious login. click here and update CVV now ✅,1,Bodo+English,urgency,synthetic_v2
Alert: Lab viva postponed to next Monday #update,0,mixed-indic,personal,synthetic_v2
FYI: Physics CAT prep session at 6 pm in SJT-308 immediately,0,Tamil+English,commerce,synthetic_v2
Alert: Your account has suspicious login. click here and update CVV now kindly respond,1,Santali+English,money,synthetic_v2
Alert: Lunch done? meet at canteen #update,0,Bodo+English,social,synthetic_v2
plz Happy birthday! have a great day ahead kindly respond,0,Konkani+English,work,synthetic_v2
Alert: Your parcel out for delivery kindly respond,0,Bengali+English,social,synthetic_v2
Aadhaar PAN re-verify karo warna account freeze ho jayega. #update,1,Tamil+English,credential,synthetic_v2
Alert: Meeting notes attached in the shared drive. kindly respond,0,Assamese+English,education,synthetic_v2
plz पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी ✅,1,Maithili+English,kyc,synthetic_v2
UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. asap,1,Assamese+English,link,synthetic_v2
Alert: Dinner plan tonight? Let's meet near hostel gate. immediately,0,Kannada+English,work,synthetic_v2
"Dear customer, రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది immediately",0,Hinglish,education,synthetic_v2
"Dear customer, ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ asap",1,Telugu+English,urgency,synthetic_v2
"Alert: Get lottery prize ₹5 lakh now, pay registration fee first #update",1,Odia+English,credential,synthetic_v2
Alert: Cab details: driver number shared for pickup #update,0,Tamil+English,personal,synthetic_v2
Attention! bank e-KYC link: fill card number and OTP to continue kindly respond,1,Nepali+English,otp,synthetic_v2
Attention! Document uploaded to Google Drive for project review ✅,0,Sindhi+English,personal,synthetic_v2
Important: CBI cyber complaint registered. settle immediately to avoid arrest immediately,1,Gujarati+English,fear,synthetic_v2
Attention! Document uploaded to Google Drive for project review asap,0,Hinglish,commerce,synthetic_v2
"Dear customer, உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் asap",1,Bodo+English,upi,synthetic_v2
"Dear customer, Bank statement downloaded successfully from official app. ✅",0,Dogri+English,personal,synthetic_v2
Alert: Document uploaded to Google Drive for project review ✅,0,Tamil+English,social,synthetic_v2
"plz Class moved to 3 PM tomorrow, please attend on time. 🙏",0,Malayalam+English,education,synthetic_v2
Important: CBI cyber complaint registered. settle immediately to avoid arrest #update,1,mixed-indic,link,synthetic_v2
FYI: 24 ghante mein KYC नहीं किया तो card permanently blocked,1,Santali+English,money,synthetic_v2
"Dear customer, Physics CAT prep session at 6 pm in SJT-308 🙏",0,mixed-indic,work,synthetic_v2
"Dear customer, Seminar registration open on official college website",0,Bengali+English,work,synthetic_v2
"Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details. #update",1,Bodo+English,kyc,synthetic_v2
Alert: Exam timetable announced on portal #update,0,Sanskrit+English,personal,synthetic_v2
Important: Sarkari subsidy release ke liye processing fee bhejo kindly respond,1,Manipuri+English,link,synthetic_v2
"Important: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে #update",1,Tamil+English,otp,synthetic_v2
Alert: 24 ghante mein KYC नहीं किया तो card permanently blocked,1,mixed-indic,fear,synthetic_v2
FYI: Meeting notes attached in the shared drive. kindly respond,0,Gujarati+English,work,synthetic_v2
plz UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. kindly respond,1,Urdu+English,upi,synthetic_v2
"Dear customer, Class moved to 3 PM tomorrow, please attend on time. kindly respond",0,Maithili+English,education,synthetic_v2
"Dear customer, Meeting notes attached in the shared drive. 🙏",0,Hindi+English,work,synthetic_v2
FYI: a/c verification pending. confirm netbanking password now #update,1,Kannada+English,otp,synthetic_v2
"আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে asap",1,Assamese+English,fear,synthetic_v2
"plz আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে #update",1,mixed-indic,link,synthetic_v2
Attention! पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी #update,1,Santali+English,fear,synthetic_v2
"Alert: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে asap",1,Sindhi+English,otp,synthetic_v2
"plz Get lottery prize ₹5 lakh now, pay registration fee first #update",1,Punjabi+English,urgency,synthetic_v2
"Dear customer, Lunch done? meet at canteen immediately",0,Bodo+English,commerce,synthetic_v2
Alert: a/c verification pending. confirm netbanking password now kindly respond,1,Tanglish,money,synthetic_v2
Important: a/c verification pending. confirm netbanking password now 🙏,1,Sindhi+English,urgency,synthetic_v2
"plz Your order has been delivered, thank you for shopping. asap",0,Hinglish,work,synthetic_v2
"Alert: আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন #update",0,Sindhi+English,family,synthetic_v2
FYI: Please share PYQ pdf in class group,0,Malayalam+English,family,synthetic_v2
FYI: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी,1,Dogri+English,impersonation,synthetic_v2
"FYI: మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి",1,Santali+English,credential,synthetic_v2
"Alert: URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. #update",1,Dogri+English,upi,synthetic_v2
"plz আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। kindly respond",1,Kashmiri+English,upi,synthetic_v2
"Dear customer, Cab details: driver number shared for pickup ✅",0,Hindi+English,commerce,synthetic_v2
plz 24 ghante mein KYC नहीं किया तो card permanently blocked 🙏,1,Punjabi+English,otp,synthetic_v2
Attention! நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது 🙏,0,Maithili+English,commerce,synthetic_v2
"FYI: Get lottery prize ₹5 lakh now, pay registration fee first #update",1,Tanglish,upi,synthetic_v2
bank e-KYC link: fill card number and OTP to continue asap,1,Tamil+English,upi,synthetic_v2
Important: Your parcel out for delivery #update,0,Dogri+English,education,synthetic_v2
plz CBI cyber complaint registered. settle immediately to avoid arrest #update,1,Maithili+English,upi,synthetic_v2
FYI: Lunch done? meet at canteen immediately,0,Assamese+English,work,synthetic_v2
"plz మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి 🙏",1,Tanglish,fear,synthetic_v2
"FYI: உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் immediately",1,Tanglish,credential,synthetic_v2
FYI: Your account has suspicious login. click here and update CVV now 🙏,1,Urdu+English,impersonation,synthetic_v2
"FYI: Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details.",1,Odia+English,otp,synthetic_v2
Attention! நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது asap,0,Bengali+English,personal,synthetic_v2
CBI cyber complaint registered. settle immediately to avoid arrest ✅,1,Hinglish,money,synthetic_v2
Attention! a/c verification pending. confirm netbanking password now #update,1,Nepali+English,credential,synthetic_v2
Important: Exam timetable announced on portal asap,0,Odia+English,family,synthetic_v2
Attention! ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ,1,Gujarati+English,otp,synthetic_v2
"Dear customer, Income tax refund release: verify PAN and bank details now kindly respond",1,Urdu+English,money,synthetic_v2
"plz আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে ✅",1,Maithili+English,otp,synthetic_v2
Important: Lab viva postponed to next Monday #update,0,Konkani+English,work,synthetic_v2
Attention! Exam timetable announced on portal #update,0,Kashmiri+English,education,synthetic_v2
"మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి asap",1,Bodo+English,credential,synthetic_v2
"Attention! कल assignment submit करना है, भूलना मत 🙏",0,Kannada+English,social,synthetic_v2
"plz Paytm security team se bol raha hu, account unlock ke liye OTP share karo",1,Maithili+English,upi,synthetic_v2
"Alert: कल assignment submit करना है, भूलना मत ✅",0,Malayalam+English,family,synthetic_v2
"Your order has been delivered, thank you for shopping. 🙏",0,Dogri+English,personal,synthetic_v2
FYI: நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது,0,Telugu+English,social,synthetic_v2
Attention! Hostel maintenance visit tomorrow morning kindly respond,0,Malayalam+English,personal,synthetic_v2
"Dear customer, మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి immediately",1,Bodo+English,money,synthetic_v2
"আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন immediately",0,Gujarati+English,work,synthetic_v2
"Dear customer, Aadhaar PAN re-verify karo warna account freeze ho jayega.",1,Santali+English,upi,synthetic_v2
"Dear customer, Seminar registration open on official college website immediately",0,Urdu+English,education,synthetic_v2
Important: Income tax refund release: verify PAN and bank details now ✅,1,Konkani+English,upi,synthetic_v2
"plz మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి ✅",1,Bodo+English,urgency,synthetic_v2
Attention! Document uploaded to Google Drive for project review ✅,0,Sindhi+English,commerce,synthetic_v2
"FYI: Class moved to 3 PM tomorrow, please attend on time. immediately",0,Bengali+English,commerce,synthetic_v2
"कल assignment submit करना है, भूलना मत kindly respond",0,Odia+English,work,synthetic_v2
FYI: 24 ghante mein KYC नहीं किया तो card permanently blocked immediately,1,Nepali+English,urgency,synthetic_v2
Attention! Your parcel out for delivery kindly respond,0,Marathi+English,personal,synthetic_v2
FYI: Exam timetable announced on portal 🙏,0,Santali+English,education,synthetic_v2
Attention! ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ ✅,1,Odia+English,money,synthetic_v2
"Attention! మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి kindly respond",1,Dogri+English,kyc,synthetic_v2
FYI: Exam timetable announced on portal ✅,0,Sanskrit+English,social,synthetic_v2
Attention! CBI cyber complaint registered. settle immediately to avoid arrest immediately,1,Tanglish,urgency,synthetic_v2
"Attention! உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் kindly respond",1,Hinglish,impersonation,synthetic_v2
"FYI: Your order has been delivered, thank you for shopping.",0,Tanglish,personal,synthetic_v2
Attention! Please share PYQ pdf in class group 🙏,0,Malayalam+English,personal,synthetic_v2
"Dear customer, Lunch done? meet at canteen immediately",0,Malayalam+English,commerce,synthetic_v2
Alert: 24 ghante mein KYC नहीं किया तो card permanently blocked #update,1,Dogri+English,link,synthetic_v2
plz Meeting notes attached in the shared drive.,0,Bengali+English,social,synthetic_v2
"Attention! আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন।",1,Malayalam+English,upi,synthetic_v2
plz రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది #update,0,Tamil+English,family,synthetic_v2
FYI: a/c verification pending. confirm netbanking password now asap,1,Konkani+English,urgency,synthetic_v2
plz CBI cyber complaint registered. settle immediately to avoid arrest,1,Sanskrit+English,kyc,synthetic_v2
FYI: ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ ✅,1,Telugu+English,urgency,synthetic_v2
"FYI: Class moved to 3 PM tomorrow, please attend on time. 🙏",0,Nepali+English,commerce,synthetic_v2
"Alert: Get lottery prize ₹5 lakh now, pay registration fee first immediately",1,Maithili+English,money,synthetic_v2
"Dear customer, ತಕ್ಷಣ ನಿಮ್ಮ OTP ಕಳುಹಿಸಿ ಇಲ್ಲವಾದರೆ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ 🙏",1,mixed-indic,urgency,synthetic_v2
"మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి immediately",1,Hinglish,otp,synthetic_v2
"Dear customer, UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. ✅",1,Hindi+English,kyc,synthetic_v2
UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. kindly respond,1,Urdu+English,credential,synthetic_v2
"FYI: మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి",1,Hinglish,urgency,synthetic_v2
"Important: कल assignment submit करना है, भूलना मत",0,Punjabi+English,family,synthetic_v2
bank e-KYC link: fill card number and OTP to continue ✅,1,Bodo+English,link,synthetic_v2
"Dear customer, Happy birthday! have a great day ahead 🙏",0,Assamese+English,work,synthetic_v2
Attention! Dinner plan tonight? Let's meet near hostel gate. asap,0,Santali+English,commerce,synthetic_v2
plz Physics CAT prep session at 6 pm in SJT-308 immediately,0,Urdu+English,family,synthetic_v2
"URGENT: RBI alert! card suspend hone wala hai, click link and enter PIN. asap",1,Marathi+English,impersonation,synthetic_v2
"FYI: మీ ఖాతా బ్లాక్ అవుతుంది, వెంటనే KYC చెయ్యండి మరియు OTP ఇవ్వండి #update",1,Sindhi+English,link,synthetic_v2
Attention! Sarkari subsidy release ke liye processing fee bhejo,1,Gujarati+English,credential,synthetic_v2
"Important: कल assignment submit करना है, भूलना मत 🙏",0,Hinglish,education,synthetic_v2
FYI: Sarkari subsidy release ke liye processing fee bhejo ✅,1,Tanglish,otp,synthetic_v2
"Attention! আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন #update",0,Hindi+English,family,synthetic_v2
Alert: Dinner plan tonight? Let's meet near hostel gate. #update,0,Hinglish,work,synthetic_v2
Attention! Document uploaded to Google Drive for project review immediately,0,Tanglish,work,synthetic_v2
"Dear customer, 24 ghante mein KYC नहीं किया तो card permanently blocked kindly respond",1,Kannada+English,upi,synthetic_v2
"Attention! আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে ✅",1,Punjabi+English,otp,synthetic_v2
"Dear customer, Happy birthday! have a great day ahead #update",0,Assamese+English,personal,synthetic_v2
"कल assignment submit करना है, भूलना मत 🙏",0,Gujarati+English,work,synthetic_v2
Attention! Meeting notes attached in the shared drive.,0,Odia+English,education,synthetic_v2
"Dear customer, Your account has suspicious login. click here and update CVV now #update",1,Nepali+English,link,synthetic_v2
plz a/c verification pending. confirm netbanking password now #update,1,Tamil+English,upi,synthetic_v2
Physics CAT prep session at 6 pm in SJT-308 immediately,0,Kashmiri+English,commerce,synthetic_v2
"Dear customer, Your PhonePe wallet blocked. share mpin to reactivate",1,Bengali+English,impersonation,synthetic_v2
FYI: Aadhaar PAN re-verify karo warna account freeze ho jayega. ✅,1,mixed-indic,urgency,synthetic_v2
Important: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी 🙏,1,Sanskrit+English,money,synthetic_v2
"Alert: আজকের মিটিং ৬ টায় হবে, দয়া করে সময়ে আসবেন ✅",0,Sindhi+English,commerce,synthetic_v2
UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. asap,1,Malayalam+English,upi,synthetic_v2
Happy birthday! have a great day ahead ✅,0,Manipuri+English,family,synthetic_v2
plz Income tax refund release: verify PAN and bank details now kindly respond,1,Urdu+English,credential,synthetic_v2
"Attention! உங்கள் வங்கி கணக்கு முடக்கப்படும், OTP உடனே பகிரவும் 🙏",1,Assamese+English,urgency,synthetic_v2
plz a/c verification pending. confirm netbanking password now asap,1,mixed-indic,impersonation,synthetic_v2
"FYI: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে #update",1,Bodo+English,otp,synthetic_v2
Important: Lab viva postponed to next Monday kindly respond,0,Hindi+English,personal,synthetic_v2
Important: UPI KYC expired. Abhi verify nahi kiya to account band ho jayega. immediately,1,Malayalam+English,upi,synthetic_v2
Income tax refund release: verify PAN and bank details now ✅,1,Marathi+English,otp,synthetic_v2
"Dear customer, Meeting notes attached in the shared drive. ✅",0,Punjabi+English,social,synthetic_v2
plz 24 ghante mein KYC नहीं किया तो card permanently blocked kindly respond,1,Punjabi+English,link,synthetic_v2
FYI: a/c verification pending. confirm netbanking password now immediately,1,Punjabi+English,link,synthetic_v2
"Dear customer, Lab viva postponed to next Monday kindly respond",0,Maithili+English,social,synthetic_v2
"Important: Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details.",1,Tamil+English,impersonation,synthetic_v2
"Attention! আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে immediately",1,Tanglish,money,synthetic_v2
"Dear customer, రేపు ప్రాజెక్ట్ రివ్యూ 11 గంటలకు ఉంది ✅",0,Malayalam+English,commerce,synthetic_v2
plz a/c verification pending. confirm netbanking password now ✅,1,Kannada+English,kyc,synthetic_v2
Alert: Lunch done? meet at canteen ✅,0,Marathi+English,work,synthetic_v2
"Important: আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। ✅",1,Sanskrit+English,otp,synthetic_v2
FYI: Your PhonePe wallet blocked. share mpin to reactivate,1,Tanglish,impersonation,synthetic_v2
"Dear customer, Dear Customer, Your SBI account will be blocked within 24 hours due to suspicious activity. Verify your KYC immediately and enter your OTP and debit card details. kindly respond",1,Telugu+English,credential,synthetic_v2
plz நாளை லேப் கிளாஸ் காலை 9 மணிக்கு உள்ளது ✅,0,Kashmiri+English,social,synthetic_v2
Your account has suspicious login. click here and update CVV now asap,1,Sanskrit+English,otp,synthetic_v2
"Dear customer, Get lottery prize ₹5 lakh now, pay registration fee first 🙏",1,Dogri+English,kyc,synthetic_v2
Important: Hostel maintenance visit tomorrow morning,0,Tamil+English,commerce,synthetic_v2
"Dear customer, Seminar registration open on official college website ✅",0,Nepali+English,education,synthetic_v2
Seminar registration open on official college website ✅,0,Telugu+English,social,synthetic_v2
Alert: Physics CAT prep session at 6 pm in SJT-308 #update,0,Marathi+English,family,synthetic_v2
"আপনার ব্যাংক অ্যাকাউন্ট ব্লক হবে, এখনই OTP দিন। #update",1,Marathi+English,credential,synthetic_v2
"Dear customer, Physics CAT prep session at 6 pm in SJT-308 asap",0,Bodo+English,commerce,synthetic_v2
"Attention! Class moved to 3 PM tomorrow, please attend on time. kindly respond",0,Odia+English,personal,synthetic_v2
Attention! Your parcel out for delivery ✅,0,Assamese+English,education,synthetic_v2
plz 24 ghante mein KYC नहीं किया तो card permanently blocked 🙏,1,Manipuri+English,credential,synthetic_v2
"Important: Paytm security team se bol raha hu, account unlock ke liye OTP share karo #update",1,Telugu+English,fear,synthetic_v2
Alert: Please share PYQ pdf in class group ✅,0,Maithili+English,family,synthetic_v2
Attention! Income tax refund release: verify PAN and bank details now asap,1,Malayalam+English,urgency,synthetic_v2
Attention! Your parcel out for delivery kindly respond,0,Assamese+English,personal,synthetic_v2
Important: Aadhaar PAN re-verify karo warna account freeze ho jayega.,1,Sanskrit+English,urgency,synthetic_v2
Alert: पुलिस नोटिस: अभी जुर्माना भरें वरना कानूनी कार्रवाई होगी immediately,1,Hindi+English,otp,synthetic_v2
"Important: আপনার KYC আপডেট করুন, না হলে debit card বন্ধ হয়ে যাবে asap",1,Tanglish,kyc,synthetic_v2
FYI: Your account has suspicious login. click here and update CVV now #update,1,Kannada+English,fear,synthetic_v2
Important: Your account has suspicious login. click here and update CVV now,1,Sindhi+English,urgency,synthetic_v2
"Dear customer, Class moved to 3 PM tomorrow, please attend on time. immediately",0,Hindi+English,personal,synthetic_v2
plz Your PhonePe wallet blocked. share mpin to reactivate kindly respond,1,Urdu+English,link,synthetic_v2
FYI: Cab details: driver number shared for pickup,0,Sanskrit+English,education,synthetic_v2
plz CBI cyber complaint registered. settle immediately to avoid arrest 🙏,1,Nepali+English,kyc,synthetic_v2
"Dear customer, Your order has been delivered, thank you for shopping.",0,Santali+English,personal,synthetic_v2
Important: Income tax refund release: verify PAN and bank details now asap,1,Nepali+English,money,synthetic_v2
plz Lunch done? meet at canteen,0,Odia+English,work,synthetic_v2
FYI: Your account has suspicious login. click here and update CVV now kindly respond,1,Bodo+English,money,synthetic_v2
Alert: Physics CAT prep session at 6 pm in SJT-308 immediately,0,Konkani+English,personal,synthetic_v2
"Dear customer, Hostel maintenance visit tomorrow morning immediately",0,Assamese+English,education,synthetic_v2
